park,tip,godina_osnutka,povrsina,vrh,visina_vrh,zupanija,atrakcija,dogadjaj_godine,zivotinja
Brijuni,Nacionalni park,1983,33.9,null,null,Istarska,Vidikovac na Ciprovcu,Dani dinosaura u travnju,Dupin
Brijuni,Nacionalni park,1983,33.9,null,null,Istarska,Vidikovac na Ciprovcu,Dani dinosaura u travnju,Morska kornjača
Jakuševac,Park prirode,1980,220.0,Metlina,237,Šibensko-kninska,Vrulje na otoku Kornatu, crkvici Gospe o’Tarca u srpnju,Dupin
Jakuševac,Park prirode,1980,220.0,Metlina,237,Šibensko-kninska,Vrulje na otoku Kornatu, crkvici Gospe o’Tarca u srpnju,Plemenita periska
Kopački rit,Park prirode,1976,231.0,null,null,Osječko-baranjska,Šetnica bijelog lopoča,Dan otvorenih vrata u srpnju,Orao štekavac
Kopački rit,Park prirode,1976,231.0,null,null,Osječko-baranjska,Šetnica bijelog lopoča,Dan otvorenih vrata u srpnju,Vidra
Krka,Nacionalni park,1985,109.0,null,null,Šibensko-kninska,Skradinski buk,Krkino kulturno ljeto,Čovječja ribica
Krka,Nacionalni park,1985,109.0,null,null,Šibensko-kninska,Skradinski buk,Krkino kulturno ljeto,Vidra
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Grad Zagreb,Petsto Horvatovih stuba,Snježna kraljica,Močvarni plavac
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Grad Zagreb,Petsto Horvatovih stuba,Snježna kraljica,Poskok
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Krapinsko-zagorska,Petsto Horvatovih stuba,Snježna kraljica,Močvarni plavac
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Krapinsko-zagorska,Petsto Horvatovih stuba,Snježna kraljica,Poskok
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Zagrebačka,Petsto Horvatovih stuba,Snježna kraljica,Močvarni plavac
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Zagrebačka,Petsto Horvatovih stuba,Snježna kraljica,Poskok
Mljet,Nacionalni park,1960,53.7,null,null,Dubrovačko-neretvanska,Otočić Svete Marije,Obilježavanje godišnjice osnivanja,Morski vranac
Mljet,Nacionalni park,1960,53.7,null,null,Dubrovačko-neretvanska,Otočić Svete Marije,Obilježavanje godišnjice osnivanja,Sredozemni galeb
Papuk,Park prirode,1999,336.0,Papuk,953,Požeško-slavonska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Močvarni plavac
Papuk,Park prirode,1999,336.0,Papuk,953,Požeško-slavonska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Pjegavi daždevnjak
Papuk,Park prirode,1999,336.0,Papuk,953,Virovitičko-podravska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Močvarni plavac
Papuk,Park prirode,1999,336.0,Papuk,953,Virovitičko-podravska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Pjegavi daždevnjak
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Karlovačka,Gornja jezera,Plitvički maraton u lipnju,Medvjed
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Karlovačka,Gornja jezera,Plitvički maraton u lipnju,Vidra
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Karlovačka,Gornja jezera,Plitvički maraton u lipnju,Vuk
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Ličko-senjska,Gornja jezera,Plitvički maraton u lipnju,Medvjed
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Ličko-senjska,Gornja jezera,Plitvički maraton u lipnju,Vidra
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Ličko-senjska,Gornja jezera,Plitvički maraton u lipnju,Vuk
Risnjak,Nacionalni park,1953,63.5,Veliki risnjak,1528,Primorsko-goranska,Izvor Kupe,Furmanski dan u kolovozu,Medvjed
Risnjak,Nacionalni park,1953,63.5,Veliki risnjak,1528,Primorsko-goranska,Izvor Kupe,Furmanski dan u kolovozu,Ris
Risnjak,Nacionalni park,1953,63.5,Veliki risnjak,1528,Primorsko-goranska,Izvor Kupe,Furmanski dan u kolovozu,Vuk
Vransko jezero,Park prirode,1999,57.0,null,null,Šibensko-kninska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Čaplja
Vransko jezero,Park prirode,1999,57.0,null,null,Šibensko-kninska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Kravosas
Vransko jezero,Park prirode,1999,57.0,null,null,Zadarska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Čaplja
Vransko jezero,Park prirode,1999,57.0,null,null,Zadarska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Kravosas
