park,tip,godina_osnutka,povrsina,vrh,visina_vrh,zupanija,atrakcija,dogadjaj_godine,zivotinja,vrsta_zivotinja
Krka,Nacionalni park,1985,109,,,Šibensko-kninska,Skradinski buk,Krkino kulturno ljeto,Vidra,sisavac
Krka,Nacionalni park,1985,109,,,Šibensko-kninska,Skradinski buk,Krkino kulturno ljeto,Čovječja ribica,vodozemac
Mljet,Nacionalni park,1960,53.7,,,Dubrovačko-neretvanska,Otočić Svete Marije,Obilježavanje godišnjice osnivanja,Sredozemni galeb,ptica
Mljet,Nacionalni park,1960,53.7,,,Dubrovačko-neretvanska,Otočić Svete Marije,Obilježavanje godišnjice osnivanja,Morski vranac,ptica
Risnjak,Nacionalni park,1953,63.5,Veliki risnjak,1528,Primorsko-goranska,Izvor Kupe,Furmanski dan u kolovozu,Ris,sisavac
Risnjak,Nacionalni park,1953,63.5,Veliki risnjak,1528,Primorsko-goranska,Izvor Kupe,Furmanski dan u kolovozu,Vuk,sisavac
Risnjak,Nacionalni park,1953,63.5,Veliki risnjak,1528,Primorsko-goranska,Izvor Kupe,Furmanski dan u kolovozu,Medvjed,sisavac
Brijuni,Nacionalni park,1983,33.9,,,Istarska,Vidikovac na Ciprovcu,Dani dinosaura u travnju,Dupin,sisavac
Brijuni,Nacionalni park,1983,33.9,,,Istarska,Vidikovac na Ciprovcu,Dani dinosaura u travnju,Morska kornjača,gmaz
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Karlovačka,Gornja jezera,Plitvički maraton u lipnju,Vidra,sisavac
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Ličko-senjska,Gornja jezera,Plitvički maraton u lipnju,Vidra,sisavac
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Karlovačka,Gornja jezera,Plitvički maraton u lipnju,Vuk,sisavac
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Ličko-senjska,Gornja jezera,Plitvički maraton u lipnju,Vuk,sisavac
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Karlovačka,Gornja jezera,Plitvički maraton u lipnju,Medvjed,sisavac
Plitvička jezera,Nacionalni park,1949,296.8,Seliški vrh,1279,Ličko-senjska,Gornja jezera,Plitvički maraton u lipnju,Medvjed,sisavac
Kopački rit,Park prirode,1976,231,,,Osječko-baranjska,Šetnica bijelog lopoča,Dan otvorenih vrata u srpnju,Vidra,sisavac
Kopački rit,Park prirode,1976,231,,,Osječko-baranjska,Šetnica bijelog lopoča,Dan otvorenih vrata u srpnju,Orao štekavac,ptica
Papuk,Park prirode,1999,336,Papuk,953,Požeško-slavonska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Močvarni plavac,leptir
Papuk,Park prirode,1999,336,Papuk,953,Virovitičko-podravska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Močvarni plavac,leptir
Papuk,Park prirode,1999,336,Papuk,953,Požeško-slavonska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Pjegavi daždevnjak,vodozemac
Papuk,Park prirode,1999,336,Papuk,953,Virovitičko-podravska,Drenovačka utvrda Klak,Srednjovjekovni viteški turnir,Pjegavi daždevnjak,vodozemac
Biokovo,Park prirode,1981,194,Sveti Jure,1762,Splitsko-dalmatinska,Vidikovac Sv. Jure,Međunarodna brdska utrka u svibnju,Vuk,sisavac
Biokovo,Park prirode,1981,194,Sveti Jure,1762,Splitsko-dalmatinska,Vidikovac Sv. Jure,Međunarodna brdska utrka u svibnju,Muflon,sisavac
Biokovo,Park prirode,1981,194,Sveti Jure,1762,Splitsko-dalmatinska,Vidikovac Sv. Jure,Međunarodna brdska utrka u svibnju,Poskok,zmija
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Krapinsko-zagorska,Petsto Horvatovih stuba,Snježna kraljica,Močvarni plavac,leptir
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Zagrebačka,Petsto Horvatovih stuba,Snježna kraljica,Močvarni plavac,leptir
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Grad Zagreb,Petsto Horvatovih stuba,Snježna kraljica,Močvarni plavac,leptir
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Krapinsko-zagorska,Petsto Horvatovih stuba,Snježna kraljica,Poskok,zmija
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Zagrebačka,Petsto Horvatovih stuba,Snježna kraljica,Poskok,zmija
Medvednica,Park prirode,1981,179.4,Sljeme,1035,Grad Zagreb,Petsto Horvatovih stuba,Snježna kraljica,Poskok,zmija
Vransko jezero,Park prirode,1999,57,,,Šibensko-kninska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Čaplja,ptica
Vransko jezero,Park prirode,1999,57,,,Zadarska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Čaplja,ptica
Vransko jezero,Park prirode,1999,57,,,Šibensko-kninska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Kravosas,zmija
Vransko jezero,Park prirode,1999,57,,,Zadarska,Kasnoantička kula Osridak,Sajam lokalnih proizvoda,Kravosas,zmija
